Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1376
design__instance__area,10123.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,4
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00023609532217960805
power__switching__total,0.00007124561670934781
power__leakage__total,1.1448019421322897E-8
power__total,0.00030735236941836774
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2634987580489784
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26227756819850434
timing__hold__ws__corner:nom_tt_025C_1v80,0.3160922169033903
timing__setup__ws__corner:nom_tt_025C_1v80,27.80279551945061
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.316092
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,38.337296
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,4
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2685940712534496
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2680088726806191
timing__hold__ws__corner:nom_ss_100C_1v60,0.8754476280584008
timing__setup__ws__corner:nom_ss_100C_1v60,24.18034196868527
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.875448
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,36.980881
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,4
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.261515566604002
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26011327161751396
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11260448447958128
timing__setup__ws__corner:nom_ff_n40C_1v95,29.32285786069565
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112604
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,38.852589
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,4
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.259479195474642
clock__skew__worst_setup,0.25835817549939777
timing__hold__ws,0.10983986253662209
timing__setup__ws,24.105667477758622
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109840
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,36.923576
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1376
design__instance__area__stdcell,10123.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.613792
design__instance__utilization__stdcell,0.613792
design__instance__count__class:buffer,5
design__instance__count__class:inverter,63
design__instance__count__class:sequential_cell,129
design__instance__count__class:multi_input_combinational_cell,834
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1168
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,19156.3
design__violations,0
design__instance__count__class:timing_repair_buffer,88
design__instance__count__class:clock_buffer,19
design__instance__count__class:clock_inverter,13
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,36
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1155
route__net__special,2
route__drc_errors__iter:1,573
route__wirelength__iter:1,22462
route__drc_errors__iter:2,245
route__wirelength__iter:2,22317
route__drc_errors__iter:3,176
route__wirelength__iter:3,22205
route__drc_errors__iter:4,15
route__wirelength__iter:4,22142
route__drc_errors__iter:5,0
route__wirelength__iter:5,22146
route__drc_errors,0
route__wirelength,22146
route__vias,7980
route__vias__singlecut,7980
route__vias__multicut,0
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,317.82
timing__unannotated_net__count__corner:nom_tt_025C_1v80,48
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,48
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,48
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,4
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.26140942927984606
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.26038147375227305
timing__hold__ws__corner:min_tt_025C_1v80,0.31213033041681437
timing__setup__ws__corner:min_tt_025C_1v80,27.848387495380084
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.312130
