Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,881
design__instance__area,6003.26
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0003049628285225481
power__switching__total,0.00019578060891944915
power__leakage__total,7.114174138678209E-9
power__total,0.0005007505533285439
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.252776112751589
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25223554514561075
timing__hold__ws__corner:nom_tt_025C_1v80,0.4014266255247608
timing__setup__ws__corner:nom_tt_025C_1v80,7.723288893694921
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.401427
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2547495342336724
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25356642503402
timing__hold__ws__corner:nom_ss_100C_1v60,1.0574603714206825
timing__setup__ws__corner:nom_ss_100C_1v60,-0.4694893495747124
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.65080565001395
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.4694893495747124
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.057460
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,2
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25234215431456547
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25179434250314664
timing__hold__ws__corner:nom_ff_n40C_1v95,0.15897106303524547
timing__setup__ws__corner:nom_ff_n40C_1v95,10.757103956513006
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.158971
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25204355982364773
clock__skew__worst_setup,0.25147465377416445
timing__hold__ws,0.15789181520248416
timing__setup__ws,-0.5875140540361105
timing__hold__tns,0.0
timing__setup__tns,-0.8887308918122049
timing__hold__wns,0
timing__setup__wns,-0.5875140540361105
timing__hold_vio__count,0
timing__hold_r2r__ws,0.157892
timing__hold_r2r_vio__count,0
timing__setup_vio__count,6
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,881
design__instance__area__stdcell,6003.26
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.363981
design__instance__utilization__stdcell,0.363981
design__instance__count__class:inverter,22
design__instance__count__class:sequential_cell,40
design__instance__count__class:multi_input_combinational_cell,485
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1216
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,14605
design__violations,0
design__instance__count__class:timing_repair_buffer,100
design__instance__count__class:clock_buffer,6
design__instance__count__class:clock_inverter,2
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,39
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
route__net,671
route__net__special,2
route__drc_errors__iter:1,292
route__wirelength__iter:1,16362
route__drc_errors__iter:2,199
route__wirelength__iter:2,16155
route__drc_errors__iter:3,163
route__wirelength__iter:3,16163
route__drc_errors__iter:4,2
route__wirelength__iter:4,16062
route__drc_errors__iter:5,0
route__wirelength__iter:5,16058
route__drc_errors,0
route__wirelength,16058
route__vias,4817
route__vias__singlecut,4817
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,195.055
timing__unannotated_net__count__corner:nom_tt_025C_1v80,16
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,16
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,16
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25242095239596685
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2518903490419164
timing__hold__ws__corner:min_tt_025C_1v80,0.399961020068503
timing__setup__ws__corner:min_tt_025C_1v80,7.780332154313455
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
