Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,180
design__inferred_latch__count,0
design__instance__count,1815
design__instance__area,10784.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,5
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0016055977903306484
power__switching__total,0.0013003709027543664
power__leakage__total,1.0261864247240737E-8
power__total,0.0029059788212180138
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2569144414373436
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2576872677066422
timing__hold__ws__corner:nom_tt_025C_1v80,0.32770193042254314
timing__setup__ws__corner:nom_tt_025C_1v80,11.443317728408132
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.327702
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.165806
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,5
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2610529921677094
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2618021151747619
timing__hold__ws__corner:nom_ss_100C_1v60,0.9159971929120252
timing__setup__ws__corner:nom_ss_100C_1v60,7.6064792173460365
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.915997
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,14.325302
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,5
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2552364780660447
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25603037081783137
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10858869666363538
timing__setup__ws__corner:nom_ff_n40C_1v95,12.918551039007799
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108589
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.148336
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,5
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2545248250871331
clock__skew__worst_setup,0.25503350153582705
timing__hold__ws,0.10682077746922213
timing__setup__ws,7.56187134313342
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106821
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,14.284021
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1815
design__instance__area__stdcell,10784.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.653846
design__instance__utilization__stdcell,0.653846
design__instance__count__class:buffer,1024
design__instance__count__class:inverter,94
design__instance__count__class:sequential_cell,90
design__instance__count__class:multi_input_combinational_cell,299
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1225
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,16559.8
design__violations,0
design__instance__count__class:timing_repair_buffer,67
design__instance__count__class:clock_buffer,10
design__instance__count__class:clock_inverter,6
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,38
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1602
route__net__special,2
route__drc_errors__iter:1,288
route__wirelength__iter:1,17211
route__drc_errors__iter:2,93
route__wirelength__iter:2,17072
route__drc_errors__iter:3,61
route__wirelength__iter:3,16971
route__drc_errors__iter:4,0
route__wirelength__iter:4,16959
route__drc_errors,0
route__wirelength,16959
route__vias,7023
route__vias__singlecut,7023
route__vias__multicut,0
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,184.31
timing__unannotated_net__count__corner:nom_tt_025C_1v80,16
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,16
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,16
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,5
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25599414979062857
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25648853211747624
timing__hold__ws__corner:min_tt_025C_1v80,0.3251776717712132
timing__setup__ws__corner:min_tt_025C_1v80,11.479193032151283
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.325178
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
