Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,23
design__inferred_latch__count,0
design__instance__count,1293
design__instance__area,10322.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,11
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00023653588141314685
power__switching__total,0.00015689627616666257
power__leakage__total,1.2209749655767155E-8
power__total,0.00039344438118860126
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2660148010496937
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2683754128225656
timing__hold__ws__corner:nom_tt_025C_1v80,0.320772972818742
timing__setup__ws__corner:nom_tt_025C_1v80,77.65858576012366
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.320773
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,95.579575
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,13
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,11
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27177524888702914
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.275727365410712
timing__hold__ws__corner:nom_ss_100C_1v60,0.8784762055329298
timing__setup__ws__corner:nom_ss_100C_1v60,75.59238426951597
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.878476
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,91.441940
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,11
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26332384240650175
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26473426977687514
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11453910366585661
timing__setup__ws__corner:nom_ff_n40C_1v95,78.40096083144161
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114539
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,97.151367
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,16
design__max_fanout_violation__count,11
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26139671722585456
clock__skew__worst_setup,0.2625753022665537
timing__hold__ws,0.11266232710080015
timing__setup__ws,75.48286120912839
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112662
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,91.328697
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,1293
design__instance__area__stdcell,10322.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.301337
design__instance__utilization__stdcell,0.301337
design__instance__count__class:buffer,1
design__instance__count__class:inverter,12
design__instance__count__class:sequential_cell,167
design__instance__count__class:multi_input_combinational_cell,403
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2398
design__instance__count__class:tap_cell,456
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,21351
design__violations,0
design__instance__count__class:timing_repair_buffer,210
design__instance__count__class:clock_buffer,17
design__instance__count__class:clock_inverter,14
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,152
antenna__violating__nets,5
antenna__violating__pins,6
route__antenna_violation__count,5
antenna_diodes_count,13
design__instance__count__class:antenna_cell,13
route__net,829
route__net__special,2
route__drc_errors__iter:1,711
route__wirelength__iter:1,25993
route__drc_errors__iter:2,280
route__wirelength__iter:2,25447
route__drc_errors__iter:3,196
route__wirelength__iter:3,25318
route__drc_errors__iter:4,45
route__wirelength__iter:4,25370
route__drc_errors__iter:5,5
route__wirelength__iter:5,25326
route__drc_errors__iter:6,0
route__wirelength__iter:6,25326
route__drc_errors,0
route__wirelength,25326
route__vias,5996
route__vias__singlecut,5996
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,254.38
timing__unannotated_net__count__corner:nom_tt_025C_1v80,34
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,34
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,34
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,11
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.26361216733415127
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.26565048135385927
timing__hold__ws__corner:min_tt_025C_1v80,0.31600339905890834
timing__setup__ws__corner:min_tt_025C_1v80,77.72011876278074
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
