Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,848
design__instance__area,6363.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0015111892716959119
power__switching__total,0.0013825930655002594
power__leakage__total,7.585415850996924E-9
power__total,0.00289378990419209
clock__skew__worst_hold__corner:nom_tt_025C_1v80,3.8805812994694575
clock__skew__worst_setup__corner:nom_tt_025C_1v80,4.393526555813855
timing__hold__ws__corner:nom_tt_025C_1v80,0.33442910498591183
timing__setup__ws__corner:nom_tt_025C_1v80,0.6063043572147123
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.334429
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,0.606304
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,4.083682396714006
clock__skew__worst_setup__corner:nom_ss_100C_1v60,4.648181082709509
timing__hold__ws__corner:nom_ss_100C_1v60,0.9156332062831075
timing__setup__ws__corner:nom_ss_100C_1v60,-7.85759923812053
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-46.683710662993015
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-7.85759923812053
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.915633
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-7.857599
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,6
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,3.818223623126346
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,4.322613500601019
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12338685977738473
timing__setup__ws__corner:nom_ff_n40C_1v95,3.126902381084286
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.123387
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.727468
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,4.084483533671233
clock__skew__worst_setup,4.321028102077016
timing__hold__ws,0.12025419889135346
timing__setup__ws,-7.961206141887173
timing__hold__tns,0.0
timing__setup__tns,-47.30472503161083
timing__hold__wns,0
timing__setup__wns,-7.961206141887173
timing__hold_vio__count,0
timing__hold_r2r__ws,0.120254
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,-7.961206
timing__setup_r2r_vio__count,18
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,848
design__instance__area__stdcell,6363.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.385829
design__instance__utilization__stdcell,0.385829
design__instance__count__class:buffer,10
design__instance__count__class:inverter,75
design__instance__count__class:sequential_cell,60
design__instance__count__class:multi_input_combinational_cell,418
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1195
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,11411.3
design__violations,0
design__instance__count__class:timing_repair_buffer,52
design__instance__count__class:clock_buffer,7
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,15
design__instance__count__hold_buffer,9
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,640
route__net__special,2
route__drc_errors__iter:1,215
route__wirelength__iter:1,11761
route__drc_errors__iter:2,73
route__wirelength__iter:2,11654
route__drc_errors__iter:3,38
route__wirelength__iter:3,11638
route__drc_errors__iter:4,0
route__wirelength__iter:4,11632
route__drc_errors,0
route__wirelength,11632
route__vias,3826
route__vias__singlecut,3826
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,199.1
timing__unannotated_net__count__corner:nom_tt_025C_1v80,12
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,12
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,12
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,3.8788866549967422
clock__skew__worst_setup__corner:min_tt_025C_1v80,4.393528332170745
timing__hold__ws__corner:min_tt_025C_1v80,0.32960790585397304
timing__setup__ws__corner:min_tt_025C_1v80,0.6604592615306933
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.329608
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
