Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,445
design__inferred_latch__count,0
design__instance__count,450
design__instance__area,2028.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00007093113526934758
power__switching__total,0.00004011272903881036
power__leakage__total,2.9929410061413364E-9
power__total,0.00011104685108875856
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.24445321458979646
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25580518982649325
timing__hold__ws__corner:nom_tt_025C_1v80,0.35108666967389085
timing__setup__ws__corner:nom_tt_025C_1v80,12.646613003665179
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.351087
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,18.492359
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2413757873008024
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25887684395559596
timing__hold__ws__corner:nom_ss_100C_1v60,0.9597157784567655
timing__setup__ws__corner:nom_ss_100C_1v60,9.542902738132021
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.959716
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,17.117516
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2459978401720668
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.254266948026795
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1293347687777299
timing__setup__ws__corner:nom_ff_n40C_1v95,13.913649293193144
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.129335
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.939648
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.24109295797728017
clock__skew__worst_setup,0.2539506454781337
timing__hold__ws,0.12684015308199587
timing__setup__ws,9.470239083204445
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.126840
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,17.111130
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,450
design__instance__area__stdcell,2028.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.122971
design__instance__utilization__stdcell,0.122971
design__instance__count__class:buffer,4
design__instance__count__class:inverter,9
design__instance__count__class:sequential_cell,8
design__instance__count__class:multi_input_combinational_cell,175
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1423
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,4359.11
design__violations,0
design__instance__count__class:timing_repair_buffer,25
design__instance__count__class:clock_buffer,4
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,243
route__net__special,2
route__drc_errors__iter:1,136
route__wirelength__iter:1,5118
route__drc_errors__iter:2,79
route__wirelength__iter:2,5093
route__drc_errors__iter:3,45
route__wirelength__iter:3,5052
route__drc_errors__iter:4,24
route__wirelength__iter:4,5062
route__drc_errors__iter:5,0
route__wirelength__iter:5,5059
route__drc_errors,0
route__wirelength,5059
route__vias,1621
route__vias__singlecut,1621
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,138.89
timing__unannotated_net__count__corner:nom_tt_025C_1v80,22
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,22
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,22
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2447746241645155
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2553942685178822
timing__hold__ws__corner:min_tt_025C_1v80,0.348100780275866
timing__setup__ws__corner:min_tt_025C_1v80,12.685134190995447
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.348101
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
