Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,2449
design__instance__area,19771.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,14
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008983155130408704
power__switching__total,0.0003862617595586926
power__leakage__total,2.3684387784328464E-8
power__total,0.0012846009340137243
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.8256571215979573
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.4720600710609368
timing__hold__ws__corner:nom_tt_025C_1v80,0.312657131256898
timing__setup__ws__corner:nom_tt_025C_1v80,12.537423898372847
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.312657
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.093064
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,24
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,14
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,2.015413226686787
clock__skew__worst_setup__corner:nom_ss_100C_1v60,2.789596632649062
timing__hold__ws__corner:nom_ss_100C_1v60,0.8550744798688249
timing__setup__ws__corner:nom_ss_100C_1v60,7.0592644838867225
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.855074
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.059265
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,14
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.4237223192248778
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,1.0073546726346336
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11261830675662877
timing__setup__ws__corner:nom_ff_n40C_1v95,13.830426972913555
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112618
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.582395
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,35
design__max_fanout_violation__count,14
design__max_cap_violation__count,0
clock__skew__worst_hold,2.041507465306362
clock__skew__worst_setup,0.9953519401536483
timing__hold__ws,0.11019613311530033
timing__setup__ws,6.766736695836297
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110196
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.766737
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2449
design__instance__area__stdcell,19771.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.577179
design__instance__utilization__stdcell,0.577179
design__instance__count__class:buffer,1
design__instance__count__class:inverter,59
design__instance__count__class:sequential_cell,291
design__instance__count__class:multi_input_combinational_cell,1285
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2215
design__instance__count__class:tap_cell,456
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,48970.1
design__violations,0
design__instance__count__class:timing_repair_buffer,300
design__instance__count__class:clock_buffer,33
design__instance__count__class:clock_inverter,23
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,152
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
route__net,1985
route__net__special,2
route__drc_errors__iter:1,1088
route__wirelength__iter:1,58639
route__drc_errors__iter:2,645
route__wirelength__iter:2,58493
route__drc_errors__iter:3,449
route__wirelength__iter:3,58211
route__drc_errors__iter:4,66
route__wirelength__iter:4,58066
route__drc_errors__iter:5,0
route__wirelength__iter:5,58058
route__drc_errors,0
route__wirelength,58058
route__vias,15214
route__vias__singlecut,15214
route__vias__multicut,0
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,428.8
timing__unannotated_net__count__corner:nom_tt_025C_1v80,63
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,63
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,63
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,14
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.8127494463040064
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.4532857550943417
timing__hold__ws__corner:min_tt_025C_1v80,0.30793479748809816
timing__setup__ws__corner:min_tt_025C_1v80,12.586847476113274
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.307935
