Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,444
design__inferred_latch__count,0
design__instance__count,349
design__instance__area,1316.26
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00005989522105664946
power__switching__total,0.000013440553630061913
power__leakage__total,2.31313146414891E-9
power__total,0.00007333808753173798
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25091165966245443
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2506693257249007
timing__hold__ws__corner:nom_tt_025C_1v80,0.35544274085650823
timing__setup__ws__corner:nom_tt_025C_1v80,10.186638487725208
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.355443
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.793465
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2512197465605012
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25098610011836087
timing__hold__ws__corner:nom_ss_100C_1v60,0.9441867555052353
timing__setup__ws__corner:nom_ss_100C_1v60,8.476881658770946
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.944187
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,15.745066
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25073999142241665
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2504909961465268
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13686652198979948
timing__setup__ws__corner:nom_ff_n40C_1v95,10.818395374633113
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.136867
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.525043
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2507001899258582
clock__skew__worst_setup,0.2504909961465268
timing__hold__ws,0.1306531309011825
timing__setup__ws,8.445555605022161
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.130653
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,15.704299
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,349
design__instance__area__stdcell,1316.26
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.0798058
design__instance__utilization__stdcell,0.0798058
design__instance__count__class:buffer,1
design__instance__count__class:inverter,10
design__instance__count__class:sequential_cell,12
design__instance__count__class:multi_input_combinational_cell,73
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1433
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1628.78
design__violations,0
design__instance__count__class:timing_repair_buffer,25
design__instance__count__class:clock_buffer,3
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,11
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,143
route__net__special,2
route__drc_errors__iter:1,44
route__wirelength__iter:1,1707
route__drc_errors__iter:2,10
route__wirelength__iter:2,1656
route__drc_errors__iter:3,9
route__wirelength__iter:3,1683
route__drc_errors__iter:4,0
route__wirelength__iter:4,1683
route__drc_errors,0
route__wirelength,1683
route__vias,727
route__vias__singlecut,727
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,99.4
timing__unannotated_net__count__corner:nom_tt_025C_1v80,28
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,28
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,28
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25089450671623886
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25073113739354486
timing__hold__ws__corner:min_tt_025C_1v80,0.35021381230724447
timing__setup__ws__corner:min_tt_025C_1v80,10.209254175465647
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.350214
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
