Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,442
design__inferred_latch__count,0
design__instance__count,858
design__instance__area,6886.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,7
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0005530869821086526
power__switching__total,0.0002190497616538778
power__leakage__total,8.37446023638222E-9
power__total,0.0007721451111137867
clock__skew__worst_hold__corner:nom_tt_025C_1v80,3.9245283689191277
clock__skew__worst_setup__corner:nom_tt_025C_1v80,4.424528424430281
timing__hold__ws__corner:nom_tt_025C_1v80,0.3383795561750107
timing__setup__ws__corner:nom_tt_025C_1v80,9.118933422032754
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.338380
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.967352
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,6
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,7
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,4.07880496478428
clock__skew__worst_setup__corner:nom_ss_100C_1v60,4.578805020295433
timing__hold__ws__corner:nom_ss_100C_1v60,0.9068466234619663
timing__setup__ws__corner:nom_ss_100C_1v60,6.4797804511702255
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.906847
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,16.136988
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,7
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,3.864285001363909
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,4.364285056875062
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12417889290555255
timing__setup__ws__corner:nom_ff_n40C_1v95,10.081322728630733
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.124179
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.591106
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,24
design__max_fanout_violation__count,7
design__max_cap_violation__count,0
clock__skew__worst_hold,4.111588075271791
clock__skew__worst_setup,4.351369165930496
timing__hold__ws,0.11924861435835936
timing__setup__ws,6.4025382363596055
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.119249
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,16.123905
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,858
design__instance__area__stdcell,6886.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.417539
design__instance__utilization__stdcell,0.417539
design__instance__count__class:inverter,13
design__instance__count__class:sequential_cell,103
design__instance__count__class:multi_input_combinational_cell,365
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1143
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,12105.5
design__violations,0
design__instance__count__class:timing_repair_buffer,136
design__instance__count__class:clock_buffer,9
design__instance__count__class:clock_inverter,7
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,89
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,645
route__net__special,2
route__drc_errors__iter:1,422
route__wirelength__iter:1,14063
route__drc_errors__iter:2,130
route__wirelength__iter:2,13828
route__drc_errors__iter:3,76
route__wirelength__iter:3,13774
route__drc_errors__iter:4,9
route__wirelength__iter:4,13739
route__drc_errors__iter:5,0
route__wirelength__iter:5,13733
route__drc_errors,0
route__wirelength,13733
route__vias,4317
route__vias__singlecut,4317
route__vias__multicut,0
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,198.15
timing__unannotated_net__count__corner:nom_tt_025C_1v80,24
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,24
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,24
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,7
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,3.904570999264033
clock__skew__worst_setup__corner:min_tt_025C_1v80,4.404571054775186
timing__hold__ws__corner:min_tt_025C_1v80,0.3314931201142553
timing__setup__ws__corner:min_tt_025C_1v80,9.170620078450582
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.331493
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
