Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,464
design__inferred_latch__count,0
design__instance__count,1893
design__instance__area,19138.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,15
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008494342910125852
power__switching__total,0.0003266234998591244
power__leakage__total,2.0258324795463523E-8
power__total,0.0011760781053453684
clock__skew__worst_hold__corner:nom_tt_025C_1v80,4.238806314815516
clock__skew__worst_setup__corner:nom_tt_025C_1v80,4.831478909259138
timing__hold__ws__corner:nom_tt_025C_1v80,0.31560610573831
timing__setup__ws__corner:nom_tt_025C_1v80,10.958628981107223
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.315606
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,18.560677
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,30
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,15
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,4.675802100075728
clock__skew__worst_setup__corner:nom_ss_100C_1v60,5.339979720665658
timing__hold__ws__corner:nom_ss_100C_1v60,0.8546174010366597
timing__setup__ws__corner:nom_ss_100C_1v60,10.074699581967712
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.854617
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,11.428001
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,15
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,4.066055163208896
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,4.62583850984085
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11138401627409364
timing__setup__ws__corner:nom_ff_n40C_1v95,11.264914653267903
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111384
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.974726
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,57
design__max_fanout_violation__count,15
design__max_cap_violation__count,0
clock__skew__worst_hold,4.736184911646784
clock__skew__worst_setup,4.608895617827473
timing__hold__ws,0.10956014183765675
timing__setup__ws,10.0681954512163
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109560
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,11.335999
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,1893
design__instance__area__stdcell,19138.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.558697
design__instance__utilization__stdcell,0.558697
design__instance__count__class:buffer,9
design__instance__count__class:inverter,75
design__instance__count__class:sequential_cell,403
design__instance__count__class:multi_input_combinational_cell,661
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2113
design__instance__count__class:tap_cell,456
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,36929.7
design__violations,0
design__instance__count__class:timing_repair_buffer,243
design__instance__count__class:clock_buffer,29
design__instance__count__class:clock_inverter,17
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,130
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1435
route__net__special,2
route__drc_errors__iter:1,628
route__wirelength__iter:1,43373
route__drc_errors__iter:2,206
route__wirelength__iter:2,43081
route__drc_errors__iter:3,213
route__wirelength__iter:3,43095
route__drc_errors__iter:4,15
route__wirelength__iter:4,42996
route__drc_errors__iter:5,0
route__wirelength__iter:5,42991
route__drc_errors,0
route__wirelength,42991
route__vias,10454
route__vias__singlecut,10454
route__vias__multicut,0
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,416.12
timing__unannotated_net__count__corner:nom_tt_025C_1v80,42
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,42
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,42
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,15
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,4.211418444291061
clock__skew__worst_setup__corner:min_tt_025C_1v80,4.801823519165059
timing__hold__ws__corner:min_tt_025C_1v80,0.3109710355017137
timing__setup__ws__corner:min_tt_025C_1v80,10.96880484154952
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.310971
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
