Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2581
design__instance__area,23717.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,21
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0043612150475382805
power__switching__total,0.004893563687801361
power__leakage__total,2.4765489214928493E-8
power__total,0.009254803881049156
clock__skew__worst_hold__corner:nom_tt_025C_1v80,4.1856097550414955
clock__skew__worst_setup__corner:nom_tt_025C_1v80,4.685609810552648
timing__hold__ws__corner:nom_tt_025C_1v80,0.31238018611557267
timing__setup__ws__corner:nom_tt_025C_1v80,13.512743306770506
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.312380
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.512743
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,21
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,4.525238090109922
clock__skew__worst_setup__corner:nom_ss_100C_1v60,5.025238145621075
timing__hold__ws__corner:nom_ss_100C_1v60,0.8612025780711628
timing__setup__ws__corner:nom_ss_100C_1v60,7.249254735018067
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.861203
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.249255
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,21
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,4.036825654679107
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,4.53682571019026
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10921652780181719
timing__setup__ws__corner:nom_ff_n40C_1v95,14.439195137134197
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109217
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.878979
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,21
design__max_cap_violation__count,0
clock__skew__worst_hold,4.572666819063285
clock__skew__worst_setup,4.518645585603249
timing__hold__ws,0.1075383146303307
timing__setup__ws,7.1091623489166835
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107538
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.109162
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2581
design__instance__area__stdcell,23717.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.692381
design__instance__utilization__stdcell,0.692381
design__instance__count__class:buffer,1
design__instance__count__class:inverter,124
design__instance__count__class:sequential_cell,347
design__instance__count__class:multi_input_combinational_cell,1263
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1910
design__instance__count__class:tap_cell,456
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,43130.3
design__violations,0
design__instance__count__class:timing_repair_buffer,342
design__instance__count__class:clock_buffer,28
design__instance__count__class:clock_inverter,20
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,211
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2122
route__net__special,2
route__drc_errors__iter:1,781
route__wirelength__iter:1,48620
route__drc_errors__iter:2,245
route__wirelength__iter:2,48195
route__drc_errors__iter:3,244
route__wirelength__iter:3,48023
route__drc_errors__iter:4,23
route__wirelength__iter:4,47962
route__drc_errors__iter:5,0
route__wirelength__iter:5,47950
route__drc_errors,0
route__wirelength,47950
route__vias,14070
route__vias__singlecut,14070
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,370.7
timing__unannotated_net__count__corner:nom_tt_025C_1v80,46
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,46
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,46
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,21
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,4.154881889475297
clock__skew__worst_setup__corner:min_tt_025C_1v80,4.65488194498645
timing__hold__ws__corner:min_tt_025C_1v80,0.30987319143276393
timing__setup__ws__corner:min_tt_025C_1v80,13.58694883947829
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.309873
