Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2298
design__instance__area,20368.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00066730024991557
power__switching__total,0.0004496978363022208
power__leakage__total,2.0196711858488925E-8
power__total,0.001117018167860806
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.9093575039254712
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.4093575594366239
timing__hold__ws__corner:nom_tt_025C_1v80,0.3272793240162674
timing__setup__ws__corner:nom_tt_025C_1v80,6.1077793440557935
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.327279
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.973560
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,5
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,1.8792947729921365
clock__skew__worst_setup__corner:nom_ss_100C_1v60,2.3792948285032893
timing__hold__ws__corner:nom_ss_100C_1v60,0.9019307778145015
timing__setup__ws__corner:nom_ss_100C_1v60,6.295010024759084
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.901931
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,6.415357
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.5223783775622144
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,1.0223784330733672
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1147800220690139
timing__setup__ws__corner:nom_ff_n40C_1v95,6.006485256959461
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114780
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.605179
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,5
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,1.9437398907251855
clock__skew__worst_setup,1.0000540678628285
timing__hold__ws,0.11155848782734788
timing__setup__ws,6.002480016262547
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111558
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.354155
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2298
design__instance__area__stdcell,20368.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.594602
design__instance__utilization__stdcell,0.594602
design__instance__count__class:buffer,10
design__instance__count__class:inverter,44
design__instance__count__class:sequential_cell,345
design__instance__count__class:multi_input_combinational_cell,1192
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2073
design__instance__count__class:tap_cell,456
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,29339.8
design__violations,0
design__instance__count__class:timing_repair_buffer,217
design__instance__count__class:clock_buffer,30
design__instance__count__class:clock_inverter,4
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,88
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1853
route__net__special,2
route__drc_errors__iter:1,481
route__wirelength__iter:1,33568
route__drc_errors__iter:2,149
route__wirelength__iter:2,33313
route__drc_errors__iter:3,113
route__wirelength__iter:3,33042
route__drc_errors__iter:4,17
route__wirelength__iter:4,32991
route__drc_errors__iter:5,0
route__wirelength__iter:5,32982
route__drc_errors,0
route__wirelength,32982
route__vias,12098
route__vias__singlecut,12098
route__vias__multicut,0
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,212.96
timing__unannotated_net__count__corner:nom_tt_025C_1v80,28
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,28
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,28
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.8752778749531347
clock__skew__worst_setup__corner:min_tt_025C_1v80,1.3752779304642875
timing__hold__ws__corner:min_tt_025C_1v80,0.3221461522055858
timing__setup__ws__corner:min_tt_025C_1v80,6.102742484095222
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.322146
