Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,697
design__instance__area,4035.12
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.000353122188244015
power__switching__total,0.0003832877555396408
power__leakage__total,4.4718957425970984E-9
power__total,0.0007364143966697156
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2529701519862057
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25201388911247546
timing__hold__ws__corner:nom_tt_025C_1v80,0.3660253315153801
timing__setup__ws__corner:nom_tt_025C_1v80,11.414182810882718
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.366025
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25519229118841497
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25425487435106076
timing__hold__ws__corner:nom_ss_100C_1v60,1.0040846216454193
timing__setup__ws__corner:nom_ss_100C_1v60,6.721139390836152
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.004085
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2523634983528176
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25138603021871725
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13665080565001395
timing__setup__ws__corner:nom_ff_n40C_1v95,13.10789203169598
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.136651
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2521879720876601
clock__skew__worst_setup,0.2508787693044197
timing__hold__ws,0.13516366186646925
timing__setup__ws,6.641736237869287
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.135164
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,697
design__instance__area__stdcell,4035.12
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.244652
design__instance__utilization__stdcell,0.244652
design__instance__count__class:inverter,7
design__instance__count__class:sequential_cell,16
design__instance__count__class:multi_input_combinational_cell,391
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1314
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,9621.68
design__violations,0
design__instance__count__class:timing_repair_buffer,55
design__instance__count__class:clock_buffer,3
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,491
route__net__special,2
route__drc_errors__iter:1,261
route__wirelength__iter:1,10473
route__drc_errors__iter:2,121
route__wirelength__iter:2,10381
route__drc_errors__iter:3,110
route__wirelength__iter:3,10286
route__drc_errors__iter:4,5
route__wirelength__iter:4,10256
route__drc_errors__iter:5,0
route__wirelength__iter:5,10253
route__drc_errors,0
route__wirelength,10253
route__vias,3499
route__vias__singlecut,3499
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,146.14
timing__unannotated_net__count__corner:nom_tt_025C_1v80,8
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,8
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,8
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2525240088511423
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25185504394873476
timing__hold__ws__corner:min_tt_025C_1v80,0.3640213233881032
timing__setup__ws__corner:min_tt_025C_1v80,11.443494475918651
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.364021
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
