Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,8
design__inferred_latch__count,0
design__instance__count,159
design__instance__area,13978.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00004279831046005711
power__switching__total,0.000023536169464932755
power__leakage__total,1.645912961478757E-9
power__total,0.00006633612792938948
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.0
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.0
timing__hold__ws__corner:nom_tt_025C_1v80,8.426790170840013
timing__setup__ws__corner:nom_tt_025C_1v80,9.88617482527032
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.0
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.0
timing__hold__ws__corner:nom_ss_100C_1v60,8.981061482043419
timing__setup__ws__corner:nom_ss_100C_1v60,8.39821569391328
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.0
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.0
timing__hold__ws__corner:nom_ff_n40C_1v95,8.174004815481483
timing__setup__ws__corner:nom_ff_n40C_1v95,10.504264422269342
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,8.163312035184301
timing__setup__ws,8.325315783519383
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 155.48 106.08
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,17954.7
design__core__area,15785.1
design__instance__count__stdcell,155
design__instance__area__stdcell,978.438
design__instance__count__macros,4
design__instance__area__macros,13000
design__instance__utilization,0.885544
design__instance__utilization__stdcell,0.351307
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,4960.39
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
route__net,175
route__net__special,2
route__drc_errors__iter:1,732
route__wirelength__iter:1,5684
route__drc_errors__iter:2,48
route__wirelength__iter:2,5577
route__drc_errors__iter:3,45
route__wirelength__iter:3,5466
route__drc_errors__iter:4,21
route__wirelength__iter:4,5475
route__drc_errors__iter:5,16
route__wirelength__iter:5,5473
route__drc_errors__iter:6,15
route__wirelength__iter:6,5484
route__drc_errors__iter:7,15
route__wirelength__iter:7,5483
route__drc_errors__iter:8,15
route__wirelength__iter:8,5483
route__drc_errors__iter:9,15
route__wirelength__iter:9,5483
route__drc_errors__iter:10,15
route__wirelength__iter:10,5483
route__drc_errors__iter:11,14
route__wirelength__iter:11,5484
route__drc_errors__iter:12,14
route__wirelength__iter:12,5484
route__drc_errors__iter:13,14
route__wirelength__iter:13,5484
route__drc_errors__iter:14,14
route__wirelength__iter:14,5484
route__drc_errors__iter:15,14
route__wirelength__iter:15,5507
route__drc_errors__iter:16,13
route__wirelength__iter:16,5509
route__drc_errors__iter:17,13
route__wirelength__iter:17,5509
route__drc_errors__iter:18,14
route__wirelength__iter:18,5498
route__drc_errors__iter:19,12
route__wirelength__iter:19,5499
route__drc_errors__iter:20,12
route__wirelength__iter:20,5499
route__drc_errors__iter:21,10
route__wirelength__iter:21,5498
route__drc_errors__iter:22,10
route__wirelength__iter:22,5498
route__drc_errors__iter:23,9
route__wirelength__iter:23,5498
route__drc_errors__iter:24,9
route__wirelength__iter:24,5498
route__drc_errors__iter:25,9
route__wirelength__iter:25,5498
route__drc_errors__iter:26,14
route__wirelength__iter:26,5498
route__drc_errors__iter:27,12
route__wirelength__iter:27,5499
route__drc_errors__iter:28,12
route__wirelength__iter:28,5499
route__drc_errors__iter:29,12
route__wirelength__iter:29,5499
route__drc_errors__iter:30,12
route__wirelength__iter:30,5499
route__drc_errors__iter:31,12
route__wirelength__iter:31,5499
route__drc_errors__iter:32,12
route__wirelength__iter:32,5499
route__drc_errors__iter:33,11
route__wirelength__iter:33,5499
route__drc_errors__iter:34,11
route__wirelength__iter:34,5500
route__drc_errors__iter:35,0
route__wirelength__iter:35,5499
route__drc_errors,0
route__wirelength,5499
route__vias,1010
