Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,18
design__inferred_latch__count,0
design__instance__count,4345
design__instance__area,26417.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,8
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0005201911553740501
power__switching__total,0.00031002520699985325
power__leakage__total,3.1056856641953345E-8
power__total,0.0008302474161610007
clock__skew__worst_hold__corner:nom_tt_025C_1v80,4.191922927427273
clock__skew__worst_setup__corner:nom_tt_025C_1v80,4.6933889214616
timing__hold__ws__corner:nom_tt_025C_1v80,0.3220167001972533
timing__setup__ws__corner:nom_tt_025C_1v80,11.609872503094468
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.322017
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,15
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,8
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,4.583255238393201
clock__skew__worst_setup__corner:nom_ss_100C_1v60,5.088181131559323
timing__hold__ws__corner:nom_ss_100C_1v60,0.8971141861082452
timing__setup__ws__corner:nom_ss_100C_1v60,7.667442009441559
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.897114
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,11.490349
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,8
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,4.039713566892438
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,4.5407159317785695
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11837686721476899
timing__setup__ws__corner:nom_ff_n40C_1v95,13.176545560945195
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.118377
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,26
design__max_fanout_violation__count,8
design__max_cap_violation__count,0
clock__skew__worst_hold,4.61981399544964
clock__skew__worst_setup,4.519803770295294
timing__hold__ws,0.11520973390284815
timing__setup__ws,7.560798423572078
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115210
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,11.375507
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,4345
design__instance__area__stdcell,26417.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.36406
design__instance__utilization__stdcell,0.36406
design__instance__count__class:buffer,2
design__instance__count__class:inverter,40
design__instance__count__class:sequential_cell,209
design__instance__count__class:multi_input_combinational_cell,2700
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,5629
design__instance__count__class:tap_cell,1037
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,85470.9
design__violations,0
design__instance__count__class:timing_repair_buffer,309
design__instance__count__class:clock_buffer,17
design__instance__count__class:clock_inverter,15
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,41
antenna__violating__nets,4
antenna__violating__pins,4
route__antenna_violation__count,4
antenna_diodes_count,16
design__instance__count__class:antenna_cell,16
route__net,3296
route__net__special,2
route__drc_errors__iter:1,2013
route__wirelength__iter:1,99653
route__drc_errors__iter:2,1354
route__wirelength__iter:2,99049
route__drc_errors__iter:3,1260
route__wirelength__iter:3,98867
route__drc_errors__iter:4,241
route__wirelength__iter:4,98775
route__drc_errors__iter:5,11
route__wirelength__iter:5,98763
route__drc_errors__iter:6,0
route__wirelength__iter:6,98758
route__drc_errors,0
route__wirelength,98758
route__vias,24079
route__vias__singlecut,24079
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,395.7
timing__unannotated_net__count__corner:nom_tt_025C_1v80,31
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,31
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,31
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,8
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,4.160385487208621
clock__skew__worst_setup__corner:min_tt_025C_1v80,4.661734685777454
timing__hold__ws__corner:min_tt_025C_1v80,0.3134193548960115
timing__setup__ws__corner:min_tt_025C_1v80,11.663258244877236
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
