Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1549
design__instance__area,10522.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00014251665561459959
power__switching__total,0.00008387331763515249
power__leakage__total,1.1476569028445738E-8
power__total,0.00022640144743490964
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2623490110521595
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26278319153379426
timing__hold__ws__corner:nom_tt_025C_1v80,0.43495441812710034
timing__setup__ws__corner:nom_tt_025C_1v80,9.634991743826244
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.434954
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.501795
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,27
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2680214182011522
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26844696669852636
timing__hold__ws__corner:nom_ss_100C_1v60,1.1080801034816705
timing__setup__ws__corner:nom_ss_100C_1v60,4.758517270463326
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.108080
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,10.797167
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2594340371518382
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25987210341416905
timing__hold__ws__corner:nom_ff_n40C_1v95,0.18946023064439899
timing__setup__ws__corner:nom_ff_n40C_1v95,10.507142120430558
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.189460
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.284117
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,33
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2577869657370732
clock__skew__worst_setup,0.2580578879183196
timing__hold__ws,0.1806179146258454
timing__setup__ws,4.584117215573898
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.180618
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,10.622032
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1549
design__instance__area__stdcell,10522.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.637991
design__instance__utilization__stdcell,0.637991
design__instance__count__class:buffer,2
design__instance__count__class:inverter,35
design__instance__count__class:sequential_cell,45
design__instance__count__class:multi_input_combinational_cell,1099
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1138
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,31683.6
design__violations,0
design__instance__count__class:timing_repair_buffer,139
design__instance__count__class:clock_buffer,3
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1342
route__net__special,2
route__drc_errors__iter:1,1264
route__wirelength__iter:1,38111
route__drc_errors__iter:2,963
route__wirelength__iter:2,37799
route__drc_errors__iter:3,650
route__wirelength__iter:3,37536
route__drc_errors__iter:4,150
route__wirelength__iter:4,37497
route__drc_errors__iter:5,7
route__wirelength__iter:5,37495
route__drc_errors__iter:6,0
route__wirelength__iter:6,37480
route__drc_errors,0
route__wirelength,37480
route__vias,10789
route__vias__singlecut,10789
route__vias__multicut,0
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,232.52
timing__unannotated_net__count__corner:nom_tt_025C_1v80,26
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,26
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,26
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.26032404746470017
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2605919442881189
timing__hold__ws__corner:min_tt_025C_1v80,0.42120552682359963
timing__setup__ws__corner:min_tt_025C_1v80,9.649261218720714
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
