Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1663
design__instance__area,14770.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,13
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0007096924819052219
power__switching__total,0.00025955255841836333
power__leakage__total,1.477074107469889E-8
power__total,0.0009692598250694573
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2799052457928375
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.28001271538466066
timing__hold__ws__corner:nom_tt_025C_1v80,0.3121228364111862
timing__setup__ws__corner:nom_tt_025C_1v80,11.798574895480826
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.312123
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.848482
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,13
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.29330735892478893
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.29341827020808575
timing__hold__ws__corner:nom_ss_100C_1v60,0.8589685872378305
timing__setup__ws__corner:nom_ss_100C_1v60,7.939350734895498
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.858969
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.807278
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,13
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2726434433168402
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.27274916430735013
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11848583560771778
timing__setup__ws__corner:nom_ff_n40C_1v95,13.211403900369026
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.118486
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.949242
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,13
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2696983546161243
clock__skew__worst_setup,0.2697006028178127
timing__hold__ws,0.1165080842557159
timing__setup__ws,7.727294578481057
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116508
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.682371
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1663
design__instance__area__stdcell,14770.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.895539
design__instance__utilization__stdcell,0.895539
design__instance__count__class:buffer,5
design__instance__count__class:inverter,41
design__instance__count__class:sequential_cell,242
design__instance__count__class:multi_input_combinational_cell,930
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,590
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,34650.9
design__violations,0
design__instance__count__class:timing_repair_buffer,192
design__instance__count__class:clock_buffer,17
design__instance__count__class:clock_inverter,9
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,128
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
route__net,1445
route__net__special,2
route__drc_errors__iter:1,1412
route__wirelength__iter:1,40618
route__drc_errors__iter:2,851
route__wirelength__iter:2,40371
route__drc_errors__iter:3,807
route__wirelength__iter:3,40340
route__drc_errors__iter:4,171
route__wirelength__iter:4,40197
route__drc_errors__iter:5,102
route__wirelength__iter:5,40195
route__drc_errors__iter:6,7
route__wirelength__iter:6,40207
route__drc_errors__iter:7,2
route__wirelength__iter:7,40205
route__drc_errors__iter:8,2
route__wirelength__iter:8,40205
route__drc_errors__iter:9,2
route__wirelength__iter:9,40205
route__drc_errors__iter:10,2
route__wirelength__iter:10,40205
route__drc_errors__iter:11,0
route__wirelength__iter:11,40206
route__drc_errors,0
route__wirelength,40206
route__vias,11505
route__vias__singlecut,11505
route__vias__multicut,0
design__disconnected_pin__count,10
design__critical_disconnected_pin__count,0
route__wirelength__max,268.06
timing__unannotated_net__count__corner:nom_tt_025C_1v80,31
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,31
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,31
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,13
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2761211060175311
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.27612798940047845
timing__hold__ws__corner:min_tt_025C_1v80,0.3092603483058385
