Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,3186
design__instance__area,29355.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,32
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0020482144318521023
power__switching__total,0.0006031521479599178
power__leakage__total,3.753869748379657E-8
power__total,0.0026514041237533092
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.272470081986642
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2705016009971579
timing__hold__ws__corner:nom_tt_025C_1v80,0.6851409633560889
timing__setup__ws__corner:nom_tt_025C_1v80,14.474038377524467
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.685141
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,18.627995
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,32
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.28037203907674296
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2782079922959402
timing__hold__ws__corner:nom_ss_100C_1v60,1.6207541323334813
timing__setup__ws__corner:nom_ss_100C_1v60,13.384632447889738
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.620754
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,17.393362
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,32
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26805305955824893
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.266321056079698
timing__hold__ws__corner:nom_ff_n40C_1v95,0.3748725325153802
timing__setup__ws__corner:nom_ff_n40C_1v95,14.896321930935466
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.374873
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,19.017508
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,32
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2660019224622438
clock__skew__worst_setup,0.26463018636537283
timing__hold__ws,0.3715980406339418
timing__setup__ws,13.363733609083134
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.371598
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,17.389849
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,3186
design__instance__area__stdcell,29355.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.856965
design__instance__utilization__stdcell,0.856965
design__instance__count__class:buffer,8
design__instance__count__class:inverter,1280
design__instance__count__class:sequential_cell,640
design__instance__count__class:multi_input_combinational_cell,16
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1439
design__instance__count__class:tap_cell,456
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,27378.9
design__violations,0
design__instance__count__class:timing_repair_buffer,722
design__instance__count__class:clock_buffer,42
design__instance__count__class:clock_inverter,22
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,632
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2722
route__net__special,2
route__drc_errors__iter:1,572
route__wirelength__iter:1,28466
route__drc_errors__iter:2,68
route__wirelength__iter:2,28083
route__drc_errors__iter:3,33
route__wirelength__iter:3,28034
route__drc_errors__iter:4,6
route__wirelength__iter:4,28028
route__drc_errors__iter:5,0
route__wirelength__iter:5,28018
route__drc_errors,0
route__wirelength,28018
route__vias,11715
route__vias__singlecut,11715
route__vias__multicut,0
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,253.2
timing__unannotated_net__count__corner:nom_tt_025C_1v80,1972
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,1972
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,1972
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,32
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.26980238251647376
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.26839961568518694
timing__hold__ws__corner:min_tt_025C_1v80,0.6880517461643736
timing__setup__ws__corner:min_tt_025C_1v80,14.493649357586081
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.688052
