Metric,Value
design__lint_error__count,5
design__lint_timing_construct__count,0
design__lint_warning__count,57
design__inferred_latch__count,0
design__instance__count,15784
design__instance__area,227195
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,54
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.012733072973787785
power__switching__total,0.016506755724549294
power__leakage__total,2.402597658601735E-7
power__total,0.029240069910883904
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-1.0242600391087173
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.9090334298154177
timing__hold__ws__corner:nom_tt_025C_1v80,0.3139648629945891
timing__setup__ws__corner:nom_tt_025C_1v80,1.4281038977822074
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.313965
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,1.428104
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,241
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,54
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.6515993484767018
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.445945626381742
timing__hold__ws__corner:nom_ss_100C_1v60,0.8714118562274465
timing__setup__ws__corner:nom_ss_100C_1v60,0.6102993838595105
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.871412
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.610299
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,54
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.7643947913219192
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.6878138253634676
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1174542718552127
timing__setup__ws__corner:nom_ff_n40C_1v95,1.6675230557246488
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
