Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1151
design__instance__area,23604.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,5
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0001700613065622747
power__switching__total,0.00005655241329804994
power__leakage__total,8.490962599694285E-9
power__total,0.00022662219998892397
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25797587019005574
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25568362040185855
timing__hold__ws__corner:nom_tt_025C_1v80,0.3187884491060984
timing__setup__ws__corner:nom_tt_025C_1v80,18.823416247381676
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.318788
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,18.823416
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,4
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,5
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2619746993488209
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2587878595776556
timing__hold__ws__corner:nom_ss_100C_1v60,0.8519497570776442
timing__setup__ws__corner:nom_ss_100C_1v60,16.706188905119117
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.851950
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,16.706188
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,5
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25632816039703354
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2547036542658822
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1123143276838893
timing__setup__ws__corner:nom_ff_n40C_1v95,19.633166759166752
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112314
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,19.633167
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,5
design__max_fanout_violation__count,5
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2555846995275668
clock__skew__worst_setup,0.25396013788526267
timing__hold__ws,0.11018353208361445
timing__setup__ws,16.651283490017263
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110184
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,16.651283
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,0.92 2.72 160.08 223.04
design__io,45
design__die__area,36347.4
design__core__area,35066.1
design__instance__count__stdcell,1150
design__instance__area__stdcell,7332.03
design__instance__count__macros,1
design__instance__area__macros,16272.3
design__instance__utilization,0.673137
design__instance__utilization__stdcell,0.390129
design__instance__count__class:macro,1
design__instance__count__class:buffer,2
design__instance__count__class:inverter,23
design__instance__count__class:sequential_cell,94
design__instance__count__class:multi_input_combinational_cell,502
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:tap_cell,414
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,16849.9
design__violations,0
design__instance__count__class:timing_repair_buffer,94
design__instance__count__class:clock_buffer,11
design__instance__count__class:clock_inverter,5
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,53
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,5
design__instance__count__class:antenna_cell,5
route__net,751
route__net__special,2
route__drc_errors__iter:1,328
route__wirelength__iter:1,18982
route__drc_errors__iter:2,131
route__wirelength__iter:2,18873
route__drc_errors__iter:3,105
route__wirelength__iter:3,18771
route__drc_errors__iter:4,4
route__wirelength__iter:4,18748
route__drc_errors__iter:5,0
route__wirelength__iter:5,18747
route__drc_errors,0
route__wirelength,18747
route__vias,5129
route__vias__singlecut,5129
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,236.735
design__instance__count__class:fill_cell,1296
timing__unannotated_net__count__corner:nom_tt_025C_1v80,38
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,38
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,38
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,5
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.257068623664249
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2549983352205275
timing__hold__ws__corner:min_tt_025C_1v80,0.31657000139555036
timing__setup__ws__corner:min_tt_025C_1v80,18.85421117042046
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
