Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,452
design__inferred_latch__count,0
design__instance__count,1138
design__instance__area,9235.11
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,11
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.000529482145793736
power__switching__total,0.0001870880223577842
power__leakage__total,1.108444447339707E-8
power__total,0.000716581242159009
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2695169996799227
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2704811728929271
timing__hold__ws__corner:nom_tt_025C_1v80,0.3063139828486081
timing__setup__ws__corner:nom_tt_025C_1v80,13.584620035595972
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.306314
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.065617
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,11
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27710620693514154
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2771558894168986
timing__hold__ws__corner:nom_ss_100C_1v60,0.8708414236212612
timing__setup__ws__corner:nom_ss_100C_1v60,11.411997891908461
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.870841
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,13.689495
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,11
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2659735562631624
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26638955684225474
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11034812265167007
timing__setup__ws__corner:nom_ff_n40C_1v95,14.36427373259989
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110348
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.056860
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2
design__max_fanout_violation__count,11
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2638298543198613
clock__skew__worst_setup,0.26419356339301486
timing__hold__ws,0.10767692597887535
timing__setup__ws,11.3663091045285
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107677
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.652271
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1138
design__instance__area__stdcell,9235.11
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.55993
design__instance__utilization__stdcell,0.55993
design__instance__count__class:buffer,4
design__instance__count__class:inverter,67
design__instance__count__class:sequential_cell,167
design__instance__count__class:multi_input_combinational_cell,506
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1032
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,13849.3
design__violations,0
design__instance__count__class:timing_repair_buffer,137
design__instance__count__class:clock_buffer,17
design__instance__count__class:clock_inverter,15
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,99
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,917
route__net__special,2
route__drc_errors__iter:1,436
route__wirelength__iter:1,15394
route__drc_errors__iter:2,169
route__wirelength__iter:2,15183
route__drc_errors__iter:3,134
route__wirelength__iter:3,15137
route__drc_errors__iter:4,44
route__wirelength__iter:4,15118
route__drc_errors__iter:5,0
route__wirelength__iter:5,15119
route__drc_errors,0
route__wirelength,15119
route__vias,5712
route__vias__singlecut,5712
route__vias__multicut,0
design__disconnected_pin__count,10
design__critical_disconnected_pin__count,0
route__wirelength__max,262.62
timing__unannotated_net__count__corner:nom_tt_025C_1v80,38
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,38
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,38
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,11
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.26700445388183386
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.26780775577402033
timing__hold__ws__corner:min_tt_025C_1v80,0.3031295855681661
timing__setup__ws__corner:min_tt_025C_1v80,13.609640910564982
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.303130
