Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,991
design__instance__area,9788.14
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,5
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,6
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0011552533833310008
power__switching__total,0.0007001973572187126
power__leakage__total,1.1087219142780214E-8
power__total,0.001855461741797626
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26721317581636644
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2637444504112766
timing__hold__ws__corner:nom_tt_025C_1v80,0.3100854660810758
timing__setup__ws__corner:nom_tt_025C_1v80,8.47235283688081
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.310085
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,21
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,6
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27315347978877785
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2691727195102495
timing__hold__ws__corner:nom_ss_100C_1v60,0.8593643817573032
timing__setup__ws__corner:nom_ss_100C_1v60,5.110198631117177
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.859364
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,6
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2641580917663749
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26116495816290947
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10723100488842313
timing__setup__ws__corner:nom_ff_n40C_1v95,9.690971854846328
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.107231
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,21
design__max_fanout_violation__count,6
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.262528145542249
clock__skew__worst_setup,0.2597387378695641
timing__hold__ws,0.10558959561124386
timing__setup__ws,5.018908097844846
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.105590
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,991
design__instance__area__stdcell,9788.14
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.593461
design__instance__utilization__stdcell,0.593461
design__instance__count__class:buffer,7
design__instance__count__class:inverter,6
design__instance__count__class:sequential_cell,145
design__instance__count__class:multi_input_combinational_cell,375
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,968
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,19196.7
design__violations,0
design__instance__count__class:timing_repair_buffer,201
design__instance__count__class:clock_buffer,18
design__instance__count__class:clock_inverter,14
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,130
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,770
route__net__special,2
route__drc_errors__iter:1,462
route__wirelength__iter:1,22586
route__drc_errors__iter:2,129
route__wirelength__iter:2,22352
route__drc_errors__iter:3,84
route__wirelength__iter:3,22264
route__drc_errors__iter:4,27
route__wirelength__iter:4,22256
route__drc_errors__iter:5,6
route__wirelength__iter:5,22250
route__drc_errors__iter:6,0
route__wirelength__iter:6,22252
route__drc_errors,0
route__wirelength,22252
route__vias,5575
route__vias__singlecut,5575
route__vias__multicut,0
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,249.57
timing__unannotated_net__count__corner:nom_tt_025C_1v80,21
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,21
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,21
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,6
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2653420058777429
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2619848578897835
timing__hold__ws__corner:min_tt_025C_1v80,0.30765840745830086
timing__setup__ws__corner:min_tt_025C_1v80,8.529183822851033
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
