Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,449
design__inferred_latch__count,0
design__instance__count,1255
design__instance__area,11312.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,10
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0009170066914521158
power__switching__total,0.00032859499333426356
power__leakage__total,1.3575402135757031E-8
power__total,0.001245615305379033
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27741429383318833
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.309611373080577
timing__hold__ws__corner:nom_tt_025C_1v80,0.31782494202692757
timing__setup__ws__corner:nom_tt_025C_1v80,3.875339270288133
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.317825
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,3.875339
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,19
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,10
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.28882660969298
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.37493828547587327
timing__hold__ws__corner:nom_ss_100C_1v60,0.8825013192225464
timing__setup__ws__corner:nom_ss_100C_1v60,1.3158221551450124
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.882501
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.315822
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,10
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2709970102803324
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.28933650738703565
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11666701268618579
timing__setup__ws__corner:nom_ff_n40C_1v95,4.855434414183588
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.116667
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,4.855434
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,27
design__max_fanout_violation__count,10
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26814706769551777
clock__skew__worst_setup,0.28691871912677847
timing__hold__ws,0.11426387937026816
timing__setup__ws,1.1406502731870363
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114264
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.140650
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1255
design__instance__area__stdcell,11312.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.68586
design__instance__utilization__stdcell,0.68586
design__instance__count__class:buffer,1
design__instance__count__class:inverter,18
design__instance__count__class:sequential_cell,201
design__instance__count__class:multi_input_combinational_cell,541
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,828
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,22015.7
design__violations,0
design__instance__count__class:timing_repair_buffer,240
design__instance__count__class:clock_buffer,15
design__instance__count__class:clock_inverter,10
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,179
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,4
design__instance__count__class:antenna_cell,4
route__net,1035
route__net__special,2
route__drc_errors__iter:1,524
route__wirelength__iter:1,25028
route__drc_errors__iter:2,252
route__wirelength__iter:2,24795
route__drc_errors__iter:3,258
route__wirelength__iter:3,24667
route__drc_errors__iter:4,23
route__wirelength__iter:4,24658
route__drc_errors__iter:5,14
route__wirelength__iter:5,24657
route__drc_errors__iter:6,0
route__wirelength__iter:6,24663
route__drc_errors,0
route__wirelength,24663
route__vias,7347
route__vias__singlecut,7347
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,201.78
timing__unannotated_net__count__corner:nom_tt_025C_1v80,40
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,40
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,40
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,10
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.27393740828863666
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.3068233254311357
timing__hold__ws__corner:min_tt_025C_1v80,0.3135917725366121
timing__setup__ws__corner:min_tt_025C_1v80,3.986811882362097
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
