Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,1268
design__instance__area,12116.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,15
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0010214614449068904
power__switching__total,0.0006108514498919249
power__leakage__total,1.2767184642825669E-8
power__total,0.0016323257004842162
clock__skew__worst_hold__corner:nom_tt_025C_1v80,3.4661368090124354
clock__skew__worst_setup__corner:nom_tt_025C_1v80,3.9661368645235884
timing__hold__ws__corner:nom_tt_025C_1v80,0.3054064310114609
timing__setup__ws__corner:nom_tt_025C_1v80,12.967513652135365
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.305406
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.444016
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,5
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,15
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,3.253250205752088
clock__skew__worst_setup__corner:nom_ss_100C_1v60,3.753250261263241
timing__hold__ws__corner:nom_ss_100C_1v60,0.8700538313853174
timing__setup__ws__corner:nom_ss_100C_1v60,9.899978894659705
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.870054
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,14.910464
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,15
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,3.5589074916630574
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,4.05890754717421
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1093398735833415
timing__setup__ws__corner:nom_ff_n40C_1v95,13.954775507902069
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109340
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.273846
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,8
design__max_fanout_violation__count,15
design__max_cap_violation__count,0
clock__skew__worst_hold,3.56117101442968
clock__skew__worst_setup,3.750148742133931
timing__hold__ws,0.10725909353174055
timing__setup__ws,9.79519604263212
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107259
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,14.875912
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1268
design__instance__area__stdcell,12116.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.734638
design__instance__utilization__stdcell,0.734638
design__instance__count__class:buffer,7
design__instance__count__class:inverter,31
design__instance__count__class:sequential_cell,206
design__instance__count__class:multi_input_combinational_cell,584
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,834
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,19468.7
design__violations,0
design__instance__count__class:timing_repair_buffer,183
design__instance__count__class:clock_buffer,17
design__instance__count__class:clock_inverter,15
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,125
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1047
route__net__special,2
route__drc_errors__iter:1,671
route__wirelength__iter:1,22790
route__drc_errors__iter:2,199
route__wirelength__iter:2,22572
route__drc_errors__iter:3,147
route__wirelength__iter:3,22477
route__drc_errors__iter:4,6
route__wirelength__iter:4,22431
route__drc_errors__iter:5,0
route__wirelength__iter:5,22426
route__drc_errors,0
route__wirelength,22426
route__vias,7381
route__vias__singlecut,7381
route__vias__multicut,0
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,290.91
timing__unannotated_net__count__corner:nom_tt_025C_1v80,40
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,40
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,40
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,15
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,3.4694073040908724
clock__skew__worst_setup__corner:min_tt_025C_1v80,3.969407137557414
timing__hold__ws__corner:min_tt_025C_1v80,0.30257630590819634
timing__setup__ws__corner:min_tt_025C_1v80,13.035193737809056
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.302576
